#         t          x          y          z         vx         vy         vz
      9.686    136.080     60.110    101.950     30.710    -13.060     24.900
      9.700    136.560     59.930    102.290     31.940    -12.990     22.670
      9.714    137.100     59.710    102.610     30.890    -13.590     22.240
      9.729    137.480     59.510    102.940     30.880    -14.510     22.690
      9.743    137.910     59.280    103.260     29.980    -16.090     22.420
      9.757    138.350     59.050    103.610     31.920    -16.070     23.190
      9.771    138.780     58.810    103.960     32.170    -16.770     23.500
      9.786    139.240     58.580    104.300     34.150    -17.330     23.290
      9.800    139.720     58.320    104.640     34.620    -18.320     23.930
      9.814    140.210     58.070    105.000     33.950    -18.010     24.960
      9.829    140.670     57.810    105.400     35.340    -17.860     25.570
      9.843    141.090     57.470    105.590     33.960    -17.060     23.980
      9.857    141.580     57.190    105.930     34.720    -17.360     25.770
      9.871    142.090     56.960    106.330     36.920    -16.770     27.010
      9.886    142.650     56.690    106.730     37.020    -17.750     29.430
      9.900    143.160     56.410    107.120     37.940    -15.650     30.260
      9.914    143.680     56.200    107.630     36.680    -16.220     33.310
      9.929    144.190     55.930    108.070     37.660    -18.070     32.290
      9.943    144.720     55.670    108.500     38.570    -17.670     34.220
      9.957    145.240     55.400    108.950     37.930    -15.900     31.840
      9.971    145.770     55.120    109.380     38.680    -18.710     30.800
      9.986    146.310     54.780    109.750     37.700    -19.580     31.250
     10.000    146.860     54.430    110.180     39.810    -21.400     33.070
     10.014    147.370     54.050    110.540     37.430    -19.970     32.560
     10.029    147.860     53.740    110.980     36.800    -20.550     32.450
     10.043    148.360     53.370    111.390     36.000    -21.170     30.720
     10.057    149.150     53.320    112.320     36.180    -19.450     31.310
     10.071    149.680     53.080    112.780     36.490    -19.970     31.720
     10.086    150.200     52.820    113.230     35.080    -20.720     30.670
     10.100    150.700     52.560    113.680     32.580    -20.070     31.180
     10.114    151.200     52.320    114.120     33.450    -19.940     32.590
     10.129    151.350     51.540    114.070     30.940    -18.500     32.270
     10.143    151.810     51.280    114.560     31.470    -17.800     34.190
     10.157    152.260     51.000    115.090     33.600    -18.450     34.180
     10.171    152.730     50.720    115.590     32.390    -17.210     32.370
     10.186    153.160     50.470    116.040     31.600    -17.810     32.720
     10.200    153.660     50.210    116.490     31.610    -16.770     32.110
     10.214    154.120     49.960    116.940     32.090    -18.240     31.160
     10.229    154.570     49.690    117.390     30.230    -18.360     31.940
     10.243    155.020     49.430    117.810     30.290    -16.240     32.470
     10.257    155.480     49.200    118.360     30.640    -17.650     33.030
     10.271    155.960     48.970    118.810     33.140    -17.910     32.240
     10.286    156.440     48.720    119.260     31.730    -18.350     32.210
     10.300    156.890     48.480    119.710     31.320    -18.780     31.150
     10.314    157.370     48.190    120.150     33.140    -17.430     30.350
     10.329    157.890     47.960    120.560     32.880    -17.390     30.080
     10.343    158.360     47.680    121.000     32.470    -18.130     29.290
     10.357    158.860     47.410    121.420     31.770    -17.110     28.450
     10.371    158.870     47.250    121.860     32.500    -19.260     26.990
     10.386    159.300     46.940    122.230     31.930    -18.420     27.900
     10.400    159.730     46.630    122.580     32.440    -18.550     25.640
     10.414    160.150     46.320    122.900     31.600    -21.180     25.870
     10.429    160.590     46.010    123.230     32.860    -22.100     25.730
     10.443    161.030     45.680    123.550     33.850    -23.270     26.360
     10.457    161.480     45.340    123.870     32.950    -23.480     26.340
     10.471    161.930     44.990    124.190     32.270    -24.920     23.550
     10.486    162.360     44.630    124.500     30.570    -26.810     23.220
     10.500    162.800     44.260    124.810     28.460    -26.670     22.040
     10.514    163.210     43.910    125.090     30.080    -24.170     22.650
     10.529    163.650     43.550    125.380     31.050    -26.660     20.990
     10.543    164.090     43.170    125.660     30.580    -28.440     19.220
     10.557    164.540     42.770    125.930     31.070    -29.100     20.790
     10.571    164.960     42.390    126.190     29.840    -29.640     18.400
     10.586    165.390     41.970    126.440     30.470    -30.240     17.640
     10.600    166.750     41.390    127.340     30.800    -30.190     18.690
     10.614    167.180     40.960    127.620     30.240    -31.550     17.690
     10.629    167.600     40.520    127.870     32.450    -30.480     15.680
     10.643    168.040     40.080    128.120     30.580    -30.640     17.700
     10.657    168.440     39.660    128.350     30.590    -31.770     17.170
     10.671    168.890     39.200    128.670     32.000    -29.620     18.310
     10.686    169.350     38.820    128.950     31.650    -28.480     17.080
     10.700    169.790     38.430    129.230     31.360    -29.840     16.820
     10.714    170.230     38.020    129.480     29.640    -28.390     17.990
     10.729    170.620     37.640    129.790     29.110    -27.490     18.840
     10.743    171.030     37.260    130.050     28.840    -28.450     16.960
     10.757    171.410     36.860    130.320     27.170    -26.720     18.190
     10.771    171.780     36.490    130.590     25.220    -25.330     17.760
     10.786    172.160     36.150    130.840     25.670    -26.610     18.820
     10.800    172.520     35.800    131.130     25.170    -24.390     20.620
     10.814    172.890     35.490    131.470     25.430    -22.680     19.080
     10.829    173.240     35.190    131.720     23.390    -23.850     17.800
     10.843    173.590     34.850    132.000     24.200    -22.590     21.510
     10.857    173.970     34.500    132.320     25.020    -22.320     20.430
     10.871    174.290     34.230    132.540     24.600    -19.990     20.440
     10.886    174.720     33.990    132.870     27.540    -19.190     21.450
     10.900    175.100     33.720    133.160     30.450    -17.610     24.280
     10.914    175.520     33.490    133.530     30.610    -15.940     23.840
     10.929    175.820     33.610    133.580     32.280    -17.260     24.980
     10.943    176.260     33.330    133.970     32.340    -16.800     25.340
     10.957    176.690     33.080    134.370     33.790    -17.550     26.660
     10.971    177.150     32.840    134.770     34.120    -16.450     27.270
     10.986    177.610     32.590    135.210     33.080    -18.650     28.270
     11.000    178.050     32.340    135.640     32.660    -16.950     28.330
     11.014    178.520     32.070    136.090     34.850    -16.240     30.220
     11.029    178.990     31.800    136.540     32.450    -17.360     29.770
     11.043    179.450     31.500    136.990     32.090    -19.200     28.340
     11.057    179.890     31.180    137.400     31.130    -19.710     27.760
     11.071    180.340     30.840    137.830     30.220    -20.910     27.470
     11.086    180.780     30.500    138.240     29.410    -23.090     24.940
     11.100    181.200     30.190    138.610     27.060    -21.070     26.760
     11.114    181.620     29.860    139.020     27.880    -21.220     25.410
     11.129    182.050     29.550    139.380     28.800    -22.060     25.490
     11.143    182.480     29.230    139.740     28.990    -21.810     27.190
     11.157    182.920     28.900    140.120     30.380    -22.490     28.360
     11.171    183.350     28.570    140.470     30.660    -22.320     27.620
     11.186    183.770     28.200    140.800     30.630    -22.880     27.010
     11.200    184.210     27.870    141.150     29.980    -23.510     27.740
     11.214    184.650     27.540    141.520     31.140    -23.390     29.270
     11.229    185.080     27.200    141.870     29.950    -22.090     30.470
     11.243    185.540     26.880    142.240     31.170    -20.780     29.650
     11.257    185.960     26.570    142.610     29.650    -21.200     27.650
     11.271    186.380     26.230    142.980     27.940    -21.410     25.920
     11.286    186.770     25.900    143.320     28.220    -20.990     25.400
     11.300    187.170     25.580    143.700     27.090    -19.730     26.440
     11.314    187.570     25.280    144.030     27.530    -21.250     25.570
     11.329    187.970     24.940    144.400     28.390    -21.490     23.900
     11.343    188.360     24.630    144.730     27.510    -21.410     26.640
     11.357    188.750     24.310    145.100     26.880    -20.540     28.450
     11.371    189.130     23.990    145.480     29.610    -20.810     27.210
     11.386    189.570     23.710    145.880     29.710    -20.700     28.310
     11.400    189.970     23.390    146.230     30.350    -22.340     25.900
     11.414    190.380     23.100    146.580     28.570    -20.840     26.730
     11.429    190.790     22.840    146.960     29.890    -19.120     26.930
